open,high,low,close,volume
92.29,92.97,92.19,92.87,5338515
92.36,92.39,92.07,92.27,4954106
92.22,92.29,91.83,92.22,4671309
91.66,91.89,91.49,91.89,4029139
91.43,91.67,91.23,91.45,6058378
91.18,91.68,91.07,91.48,3954306
91.62,91.66,91.2,91.39,6395926
91.3,91.56,91.25,91.39,8144869
90.74,91.37,90.53,91.09,5455285
90.19,90.93,90.08,90.81,6916702
89.8,90.04,89.36,89.93,6840614
89.79,90.24,89.7,90.08,5497737
89.73,90.09,89.43,89.66,6563902
89.69,90.16,89.32,89.63,5389456
90.13,90.38,89.93,90.02,5680303
89.99,90.25,89.79,90.12,5020356
89.98,90.28,89.86,89.98,5170584
89.76,90.17,89.44,89.97,4751412
89.35,89.88,89.23,89.81,5884770
88.57,89.47,88.53,89.28,5666184
88.88,89.28,88.88,88.95,5733043
88.33,89.05,88.2,88.93,6719131
87.89,88.18,87.75,88.01,5531205
88.64,88.64,87.64,87.96,5743036
88.7,88.91,88.41,88.6,5763060
87.68,88.87,87.59,88.85,9297528
87.4,87.88,87.34,87.73,6467139
86.71,87.05,86.61,86.94,3824739
86.69,86.89,86.51,86.76,4822554
87.21,87.39,86.55,86.93,5204046
87.37,87.44,87.11,87.42,7575723
86.84,87.48,86.8,87.35,5849313
87.47,87.47,86.75,86.87,5388542
87.05,87.59,87.0,87.4,6048678
86.71,87.3,86.66,87.24,4461646
86.5,86.59,86.22,86.28,6434456
86.81,87.01,86.58,86.97,6123152
86.35,86.81,86.32,86.64,7874410
85.2,86.16,85.1,86.01,9823810
84.31,84.875,84.11,84.79,7458631
84.02,84.31,83.7,83.92,3023094
83.0,83.77,82.72,83.72,9364654
83.55,84.2,83.4,83.46,6483097
82.87,83.5,82.29,83.29,9026946
83.89,84.32,83.12,83.18,7420476
84.22,84.28,83.78,83.89,5560148
84.61,84.94,83.51,84.15,9925144
84.86,85.26,84.64,84.93,9885619
84.96,84.97,84.35,84.55,7423429
84.97,85.24,84.79,85.04,5900793
84.06,84.89,83.93,84.86,6431697
84.94,84.94,84.29,84.64,7342605
85.19,85.5,84.8,85.46,9349332
85.34,85.66,85.1,85.61,9379776
85.3,85.72,85.06,85.17,10379181
85.29,85.29,84.77,85.15,6829166
